mes_size,hmap_size,base_size,map_size,bit_size,avg,time
21954560,10324.000000,21954560,355468,0,1.000000,10.034000
23265280,24940.000000,21954560,856054,0,1.000000,20.100000
24576000,39459.000000,21954560,1352581,0,1.000000,30.118000
25288704,53576.000000,21954560,1842030,0,1.000000,40.178001
25534464,68123.000000,21954560,2351561,0,1.000000,50.194000
27828224,82750.000000,21954560,2862625,0,1.000000,60.196999
28155904,97222.000000,21954560,3374572,0,1.000000,70.265999
30457856,110571.000000,21954560,3843118,0,1.000000,80.287003
31662080,124980.000000,21954560,4349866,0,1.000000,90.344002
31662080,139624.000000,21954560,4867106,0,1.000000,100.421997
33628160,154257.000000,21954560,5379960,0,1.000000,110.433998
34283520,168848.000000,21954560,5892166,0,1.000000,120.507004
35266560,183225.000000,21954560,6399957,0,1.000000,130.520004
36577280,197711.000000,21954560,6909835,0,1.000000,140.572006
38244352,209947.000000,21954560,7339470,0,1.000000,150.639008
39882752,224442.000000,21954560,7847201,0,1.000000,160.660004
40984576,238828.000000,21954560,8349652,0,1.000000,170.738998
41967616,253352.000000,21954560,8860192,0,1.000000,180.751007
43278336,267754.000000,21954560,9369296,0,1.000000,190.802994
43606016,282077.000000,21954560,9875226,0,1.000000,200.882004
45244416,296648.000000,21954560,10385312,0,1.000000,210.884003
45899776,311272.000000,21954560,10886542,0,1.000000,220.884995
46882816,325925.000000,21954560,11390352,0,1.000000,230.942001
47865856,340410.000000,21954560,11903604,0,1.000000,240.955002
48848896,355099.000000,21954560,12420639,0,1.000000,251.028000
49504256,369708.000000,21954560,12933956,0,1.000000,261.092987
50814976,384349.000000,21954560,13445600,0,1.000000,271.136993
52125696,399004.000000,21954560,13951465,0,1.000000,281.195007
55640064,411200.000000,21954560,14368158,0,1.000000,291.268005
56442880,422970.000000,21954560,14771776,0,1.000000,301.338989
57425920,437760.000000,21954560,15281558,0,1.000000,311.412994
59957248,451696.000000,21954560,15766686,0,1.000000,321.414001
59957248,466562.000000,21954560,16274615,0,1.000000,331.446991
61923328,481211.000000,21954560,16786839,0,1.000000,341.507996
62578688,495881.000000,21954560,17300720,0,1.000000,351.572998
63234048,510635.000000,21954560,17806799,0,1.000000,361.640015
64544768,525266.000000,21954560,18309321,0,1.000000,371.661987
65200128,539952.000000,21954560,18814961,0,1.000000,381.723999
65855488,554337.000000,21954560,19319504,0,1.000000,391.742004
67166208,568683.000000,21954560,19825121,0,1.000000,401.807007
68476928,583091.000000,21954560,20330016,0,1.000000,411.867004
69132288,597576.000000,21954560,20833656,0,1.000000,421.904999
70115328,611866.000000,21954560,21337482,0,1.000000,431.946014
71098368,626053.000000,21954560,21838240,0,1.000000,441.947998
72409088,640318.000000,21954560,22341665,0,1.000000,452.018005
73392128,654649.000000,21954560,22843281,0,1.000000,462.032990
73719808,668960.000000,21954560,23355063,0,1.000000,472.093994
75030528,683201.000000,21954560,23862440,0,1.000000,482.095001
76013568,697515.000000,21954560,24374731,0,1.000000,492.164001
76668928,711782.000000,21954560,24887932,0,1.000000,502.237000
78307328,726027.000000,21954560,25397389,0,1.000000,512.268005
78635008,740290.000000,21954560,25908094,0,1.000000,522.338013
79618048,754460.000000,21954560,26414873,0,1.000000,532.344971
80928768,768663.000000,21954560,26923407,0,1.000000,542.416992
81584128,782702.000000,21954560,27429783,0,1.000000,552.427002
82894848,796804.000000,21954560,27936887,0,1.000000,562.502014
83550208,811034.000000,21954560,28444056,0,1.000000,572.567993
93421568,820970.000000,21954560,28802726,0,1.000000,582.581970
90206208,829432.000000,21954560,29108135,0,1.000000,592.590027
91844608,842254.000000,21954560,29569128,0,1.000000,602.664001
92827648,856433.000000,21954560,30075153,0,1.000000,612.674988
94466048,870494.000000,21954560,30580294,0,1.000000,622.716003
95449088,884540.000000,21954560,31083238,0,1.000000,632.731018
97886208,897563.000000,21954560,31548196,0,1.000000,642.741028
98869248,911686.000000,21954560,32056158,0,1.000000,652.742981
100179968,925939.000000,21954560,32564710,0,1.000000,662.810974
101163008,940305.000000,21954560,33073923,0,1.000000,672.872986
101490688,954726.000000,21954560,33580819,0,1.000000,682.940002
102801408,969133.000000,21954560,34086942,0,1.000000,692.955994
