mes_size,hmap_size,base_size,map_size,bit_size,avg,time
471552000,62337.000000,468602880,1755393,0,1.000000,10.025000
474009600,126988.000000,468602880,3575711,0,1.000000,20.035000
476467200,191642.000000,468602880,5396010,0,1.000000,30.046000
479580160,255938.000000,468602880,7206373,0,1.000000,40.105999
482037760,319832.000000,468602880,9005006,0,1.000000,50.145000
485150720,383137.000000,468602880,10787651,0,1.000000,60.191002
487116800,447168.000000,468602880,12590418,0,1.000000,70.260002
491048960,507115.000000,468602880,14278851,0,1.000000,80.314003
493178880,566785.000000,468602880,15958948,0,1.000000,90.347000
496619520,623762.000000,468602880,17563313,0,1.000000,100.394997
498421760,680423.000000,468602880,19158694,0,1.000000,110.415001
500551680,739258.000000,468602880,20815233,0,1.000000,120.483002
502353920,798094.000000,468602880,22471905,0,1.000000,130.494995
504647680,857428.000000,468602880,24142594,0,1.000000,140.544006
506286080,916795.000000,468602880,25814698,0,1.000000,150.563004
508252160,972835.000000,468602880,27392447,0,1.000000,160.600998
510054400,1030842.000000,468602880,29026384,0,1.000000,170.639999
512348160,1088961.000000,468602880,30663257,0,1.000000,180.695007
520704000,1144668.000000,468602880,32232100,0,1.000000,190.750000
522997760,1201246.000000,468602880,33825543,0,1.000000,200.766998
524472320,1258257.000000,468602880,35431289,0,1.000000,210.822006
526602240,1314875.000000,468602880,37025703,0,1.000000,220.824997
528568320,1371544.000000,468602880,38622062,0,1.000000,230.891998
530370560,1428237.000000,468602880,40218944,0,1.000000,240.908997
532500480,1485109.000000,468602880,41820478,0,1.000000,250.960007
534138880,1542006.000000,468602880,43423023,0,1.000000,260.970001
535941120,1598936.000000,468602880,45026394,0,1.000000,270.976013
538071040,1655930.000000,468602880,46631691,0,1.000000,280.984985
539873280,1713286.000000,468602880,48247020,0,1.000000,291.036987
541839360,1770534.000000,468602880,49860008,0,1.000000,301.041992
543641600,1828231.000000,468602880,51485276,0,1.000000,311.105011
545443840,1885467.000000,468602880,53098244,0,1.000000,321.112000
547737600,1940021.000000,468602880,54634877,0,1.000000,331.182007
549376000,1992912.000000,468602880,56124722,0,1.000000,341.246002
551505920,2049393.000000,468602880,57715813,0,1.000000,351.253998
560189440,2103124.000000,468602880,59229512,0,1.000000,361.265015
561664000,2157408.000000,468602880,60758935,0,1.000000,371.320007
563466240,2213197.000000,468602880,62330847,0,1.000000,381.337006
565760000,2269048.000000,468602880,63904659,0,1.000000,391.394989
567070720,2324699.000000,468602880,65472558,0,1.000000,401.403015
569200640,2380484.000000,468602880,67044096,0,1.000000,411.466003
571166720,2436076.000000,468602880,68610796,0,1.000000,421.475006
