mes_size,hmap_size,base_size,map_size,bit_size,avg,time
23920640,29698.000000,22282240,836263,0,1.000000,10.042000
28344320,64915.000000,22282240,1827907,0,1.000000,20.063999
29773824,103832.000000,22282240,2923941,0,1.000000,30.105000
32972800,145140.000000,22282240,4086737,0,1.000000,40.124001
35590144,188793.000000,22282240,5315848,0,1.000000,50.185001
38375424,235232.000000,22282240,6623387,0,1.000000,60.199001
43421696,282920.000000,22282240,7965942,0,1.000000,70.224998
46882816,332655.000000,22282240,9366168,0,1.000000,80.266998
49725440,384344.000000,22282240,10821345,0,1.000000,90.272003
53002240,438245.000000,22282240,12339403,0,1.000000,100.329002
59748352,492144.000000,22282240,13857063,0,1.000000,110.371002
63782912,544522.000000,22282240,15331942,0,1.000000,120.403999
67059712,599758.000000,22282240,16887261,0,1.000000,130.434006
70172672,656316.000000,22282240,18479629,0,1.000000,140.470001
74059776,713353.000000,22282240,20085691,0,1.000000,150.485001
78438400,771403.000000,22282240,21720241,0,1.000000,160.529999
82042880,830195.000000,22282240,23375728,0,1.000000,170.533997
85483520,889964.000000,22282240,25058790,0,1.000000,180.602005
89251840,949830.000000,22282240,26745217,0,1.000000,190.630005
101163008,1001002.000000,22282240,28185987,0,1.000000,200.669998
102875136,1057409.000000,22282240,29774535,0,1.000000,210.716995
107536384,1114022.000000,22282240,31368477,0,1.000000,220.731003
110485504,1171317.000000,22282240,32982650,0,1.000000,230.783997
114819072,1228100.000000,22282240,34581946,0,1.000000,240.822006
119078912,1284514.000000,22282240,36170973,0,1.000000,250.832001
122355712,1341628.000000,22282240,37779462,0,1.000000,260.891998
126361600,1398273.000000,22282240,39374989,0,1.000000,270.959991
129802240,1455350.000000,22282240,40982341,0,1.000000,281.026001
133242880,1512279.000000,22282240,42586327,0,1.000000,291.045990
137338880,1569447.000000,22282240,44196504,0,1.000000,301.100006
140124160,1626570.000000,22282240,45805394,0,1.000000,311.121002
143564800,1683839.000000,22282240,47418341,0,1.000000,321.173004
147169280,1741117.000000,22282240,49032014,0,1.000000,331.190002
150609920,1798676.000000,22282240,50653550,0,1.000000,341.243988
154050560,1856134.000000,22282240,52272337,0,1.000000,351.260010
157163520,1913970.000000,22282240,53901747,0,1.000000,361.322998
169881600,1963658.000000,22282240,55301227,0,1.000000,371.385010
177827840,2007506.000000,22282240,56537147,0,1.000000,381.411987
181104640,2060960.000000,22282240,58042647,0,1.000000,391.417999
184381440,2117134.000000,22282240,59625299,0,1.000000,401.488007
189767680,2171619.000000,22282240,61160028,0,1.000000,411.550995
193208320,2227043.000000,22282240,62721553,0,1.000000,421.618988
196976640,2282739.000000,22282240,64290828,0,1.000000,431.666992
199925760,2338330.000000,22282240,65857021,0,1.000000,441.688995
203202560,2394092.000000,22282240,67428064,0,1.000000,451.756989
206315520,2449783.000000,22282240,68996858,0,1.000000,461.821991
209756160,2505467.000000,22282240,70565824,0,1.000000,471.881989
219095040,2560642.000000,22282240,72120172,0,1.000000,481.923004
218910720,2614949.000000,22282240,73650257,0,1.000000,491.941010
222515200,2670486.000000,22282240,75215187,0,1.000000,502.006989
225464320,2725788.000000,22282240,76773106,0,1.000000,512.026001
228720640,2780667.000000,22282240,78319932,0,1.000000,522.054993
233963520,2835285.000000,22282240,79859154,0,1.000000,532.098999
237731840,2890684.000000,22282240,81420039,0,1.000000,542.117981
240680960,2946257.000000,22282240,82985985,0,1.000000,552.169006
243957760,3001526.000000,22282240,84543506,0,1.000000,562.174011
247234560,3057216.000000,22282240,86112893,0,1.000000,572.239014
250511360,3112984.000000,22282240,87684176,0,1.000000,582.302979
253788160,3168827.000000,22282240,89257766,0,1.000000,592.370972
257064960,3224584.000000,22282240,90829445,0,1.000000,602.401978
260341760,3280515.000000,22282240,92405878,0,1.000000,612.458008
264110080,3336257.000000,22282240,93977345,0,1.000000,622.478027
267059200,3392188.000000,22282240,95553543,0,1.000000,632.515991
270499840,3447977.000000,22282240,97125830,0,1.000000,642.541016
273776640,3504072.000000,22282240,98707279,0,1.000000,652.603027
277381120,3559948.000000,22282240,100282826,0,1.000000,662.612000
280330240,3616188.000000,22282240,101868179,0,1.000000,672.668030
284590080,3672185.000000,22282240,103446640,0,1.000000,682.682007
287211520,3728274.000000,22282240,105027362,0,1.000000,692.687988
291143680,3784797.000000,22282240,106620448,0,1.000000,702.755981
294256640,3840969.000000,22282240,108203984,0,1.000000,712.770996
330465280,3890890.000000,22282240,109610735,0,1.000000,722.783020
320880640,3935141.000000,22282240,110857778,0,1.000000,732.807007
343613440,3972278.000000,22282240,111904559,0,1.000000,742.872986
342056960,4015486.000000,22282240,113122639,0,1.000000,752.885010
341012480,4060818.000000,22282240,114400613,0,1.000000,762.890991
344289280,4111391.000000,22282240,115826226,0,1.000000,772.893005
347074560,4166095.000000,22282240,117368282,0,1.000000,782.906982
351006720,4220913.000000,22282240,118913390,0,1.000000,792.966003
353792000,4275638.000000,22282240,120455816,0,1.000000,802.987976
357396480,4330485.000000,22282240,122002177,0,1.000000,813.038025
360509440,4385211.000000,22282240,123545189,0,1.000000,823.056030
363950080,4440000.000000,22282240,125089392,0,1.000000,833.103027
367226880,4494765.000000,22282240,126632957,0,1.000000,843.127991
370667520,4549519.000000,22282240,128177019,0,1.000000,853.179993
373944320,4604198.000000,22282240,129718478,0,1.000000,863.216980
377057280,4658872.000000,22282240,131259396,0,1.000000,873.241028
380497920,4713536.000000,22282240,132800376,0,1.000000,883.244019
383610880,4768455.000000,22282240,134348663,0,1.000000,893.315002
387051520,4823118.000000,22282240,135889724,0,1.000000,903.322998
390328320,4878045.000000,22282240,137438009,0,1.000000,913.392029
393605120,4932833.000000,22282240,138982910,0,1.000000,923.411011
404418560,4986597.000000,22282240,140499257,0,1.000000,933.469971
404148224,5038935.000000,22282240,141974835,0,1.000000,943.539001
407261184,5092276.000000,22282240,143479240,0,1.000000,953.601013
410701824,5147210.000000,22282240,145028499,0,1.000000,963.664001
414142464,5201807.000000,22282240,146568262,0,1.000000,973.664978
417091584,5256371.000000,22282240,148107023,0,1.000000,983.666016
420204544,5310988.000000,22282240,149647099,0,1.000000,993.685974
426881024,5364519.000000,22282240,151156896,0,1.000000,1003.737976
430821376,5417317.000000,22282240,152645902,0,1.000000,1013.745972
434098176,5471672.000000,22282240,154179006,0,1.000000,1023.807983
437538816,5526346.000000,22282240,155720843,0,1.000000,1033.842041
440651776,5580979.000000,22282240,157261602,0,1.000000,1043.879028
444092416,5635488.000000,22282240,158798832,0,1.000000,1053.897949
447533056,5690075.000000,22282240,160339046,0,1.000000,1063.948975
450482176,5744636.000000,22282240,161877838,0,1.000000,1073.965942
453922816,5799375.000000,22282240,163421543,0,1.000000,1084.026978
