mes_size,hmap_size,base_size,map_size,bit_size,avg,time
24084480,28933.000000,22282240,814717,0,1.000000,10.036000
28180480,64218.000000,22282240,1808203,0,1.000000,20.103001
29818880,102035.000000,22282240,2873265,0,1.000000,30.114000
32317440,144069.000000,22282240,4056887,0,1.000000,40.181000
34615296,187662.000000,22282240,5283879,0,1.000000,50.220001
38440960,234003.000000,22282240,6588624,0,1.000000,60.236000
42840064,282051.000000,22282240,7941242,0,1.000000,70.299004
46116864,331302.000000,22282240,9327746,0,1.000000,80.363998
49287168,382439.000000,22282240,10767786,0,1.000000,90.422997
52563968,435422.000000,22282240,12259618,0,1.000000,100.433998
56569856,489002.000000,22282240,13768384,0,1.000000,110.459000
63508480,540641.000000,22282240,15221983,0,1.000000,120.511002
66457600,594926.000000,22282240,16751094,0,1.000000,130.522003
70344704,650077.000000,22282240,18303967,0,1.000000,140.572998
73457664,706497.000000,22282240,19892445,0,1.000000,150.593002
77508608,763501.000000,22282240,21497442,0,1.000000,160.645996
81113088,822031.000000,22282240,23146033,0,1.000000,170.714005
84226048,880045.000000,22282240,24779610,0,1.000000,180.718002
88723456,937125.000000,22282240,26386888,0,1.000000,190.725006
96391168,987502.000000,22282240,27805112,0,1.000000,200.796005
99995648,1044674.000000,22282240,29415380,0,1.000000,210.798996
104894464,1099683.000000,22282240,30964636,0,1.000000,220.856003
109391872,1155267.000000,22282240,32530604,0,1.000000,230.858994
112504832,1211684.000000,22282240,34119749,0,1.000000,240.863007
117657600,1267164.000000,22282240,35682421,0,1.000000,250.876007
121991168,1322588.000000,22282240,37242877,0,1.000000,260.933990
124776448,1378886.000000,22282240,38828618,0,1.000000,271.005005
128217088,1435236.000000,22282240,40415751,0,1.000000,281.071014
131821568,1491248.000000,22282240,41993666,0,1.000000,291.080994
135262208,1547702.000000,22282240,43583185,0,1.000000,301.147003
138375168,1603727.000000,22282240,45161331,0,1.000000,311.157013
142143488,1660271.000000,22282240,46753968,0,1.000000,321.217987
145420288,1716843.000000,22282240,48347567,0,1.000000,331.221985
148860928,1774113.000000,22282240,49960810,0,1.000000,341.290985
154411008,1829423.000000,22282240,51518812,0,1.000000,351.363007
161292288,1886018.000000,22282240,53112922,0,1.000000,361.431000
167059456,1934211.000000,22282240,54470740,0,1.000000,371.437988
169844736,1990216.000000,22282240,56048476,0,1.000000,381.501007
173613056,2046165.000000,22282240,57625097,0,1.000000,391.514008
177053696,2102369.000000,22282240,59209141,0,1.000000,401.579010
183586816,2156167.000000,22282240,60724360,0,1.000000,411.651001
191389696,2205774.000000,22282240,62121791,0,1.000000,421.722992
194830336,2259782.000000,22282240,63643799,0,1.000000,431.726013
197943296,2314764.000000,22282240,65192569,0,1.000000,441.734009
200892416,2369968.000000,22282240,66747989,0,1.000000,451.799988
206606336,2424048.000000,22282240,68272102,0,1.000000,461.809998
209555456,2478437.000000,22282240,69804418,0,1.000000,471.817993
213159936,2533919.000000,22282240,71368344,0,1.000000,481.868988
216600576,2589175.000000,22282240,72925173,0,1.000000,491.889008
220041216,2644573.000000,22282240,74486044,0,1.000000,501.933014
225128448,2698145.000000,22282240,75995796,0,1.000000,511.934998
228077568,2753209.000000,22282240,77547162,0,1.000000,521.935974
231845888,2808312.000000,22282240,79099345,0,1.000000,531.942017
234795008,2863753.000000,22282240,80661463,0,1.000000,542.000977
238727168,2918968.000000,22282240,82216981,0,1.000000,552.021973
241676288,2974503.000000,22282240,83781775,0,1.000000,562.080994
245116928,3029599.000000,22282240,85334571,0,1.000000,572.094971
248229888,3085196.000000,22282240,86901727,0,1.000000,582.153015
251834368,3140865.000000,22282240,88470695,0,1.000000,592.224976
255111168,3196506.000000,22282240,90039123,0,1.000000,602.294983
258715648,3252114.000000,22282240,91606344,0,1.000000,612.356995
261500928,3307511.000000,22282240,93167770,0,1.000000,622.361023
265105408,3363263.000000,22282240,94739096,0,1.000000,632.431030
268546048,3418838.000000,22282240,96305059,0,1.000000,642.435974
272150528,3474726.000000,22282240,97880019,0,1.000000,652.487000
275427328,3530246.000000,22282240,99445264,0,1.000000,662.505981
278704128,3586070.000000,22282240,101018297,0,1.000000,672.570007
285421568,3641254.000000,22282240,102573517,0,1.000000,682.572021
289312768,3694789.000000,22282240,104082962,0,1.000000,692.638977
292425728,3748396.000000,22282240,105593612,0,1.000000,702.653015
303239168,3803218.000000,22282240,107138562,0,1.000000,712.710999
323420160,3852409.000000,22282240,108525259,0,1.000000,722.713013
313921536,3899794.000000,22282240,109861033,0,1.000000,732.734009
317526016,3952045.000000,22282240,111333486,0,1.000000,742.783997
328994816,4006406.000000,22282240,112865932,0,1.000000,752.841003
328790016,4058950.000000,22282240,114347372,0,1.000000,762.862000
334503936,4110192.000000,22282240,115791796,0,1.000000,772.927979
338436096,4162722.000000,22282240,117272715,0,1.000000,782.942017
350724096,4216428.000000,22282240,118787057,0,1.000000,793.005005
349122560,4268447.000000,22282240,120252999,0,1.000000,803.010986
352194560,4319926.000000,22282240,121704417,0,1.000000,813.072021
359075840,4372567.000000,22282240,123188968,0,1.000000,823.098022
362844160,4426833.000000,22282240,124718748,0,1.000000,833.151978
366120960,4481377.000000,22282240,126256502,0,1.000000,843.168030
369397760,4536093.000000,22282240,127799061,0,1.000000,853.224976
372510720,4590969.000000,22282240,129346461,0,1.000000,863.294006
376115200,4645454.000000,22282240,130882749,0,1.000000,873.302979
378900480,4700234.000000,22282240,132427618,0,1.000000,883.372009
382504960,4755074.000000,22282240,133973535,0,1.000000,893.429016
385781760,4809660.000000,22282240,135512591,0,1.000000,903.445984
388894720,4864373.000000,22282240,137054947,0,1.000000,913.513977
392335360,4918592.000000,22282240,138583609,0,1.000000,923.518005
395612160,4973091.000000,22282240,140120111,0,1.000000,933.572998
398561280,5027975.000000,22282240,141667217,0,1.000000,943.638000
401674240,5082630.000000,22282240,143208275,0,1.000000,953.648987
404951040,5137439.000000,22282240,144753412,0,1.000000,963.713989
408719360,5191941.000000,22282240,146290629,0,1.000000,973.721008
411668480,5246787.000000,22282240,147837089,0,1.000000,983.765991
421990400,5300833.000000,22282240,149361046,0,1.000000,993.793030
422440960,5353740.000000,22282240,150853175,0,1.000000,1003.835999
436858880,5405595.000000,22282240,152316013,0,1.000000,1013.864990
433213440,5458301.000000,22282240,153802553,0,1.000000,1023.934998
436326400,5511680.000000,22282240,155308353,0,1.000000,1033.936035
439439360,5566210.000000,22282240,156846501,0,1.000000,1043.942993
442552320,5621130.000000,22282240,158395529,0,1.000000,1054.010986
445992960,5675905.000000,22282240,159940239,0,1.000000,1064.074951
449105920,5730285.000000,22282240,161473781,0,1.000000,1074.078003
452710400,5784817.000000,22282240,163012235,0,1.000000,1084.089966
456151040,5839249.000000,22282240,164547152,0,1.000000,1094.109985
459100160,5893743.000000,22282240,166084052,0,1.000000,1104.170044
462376960,5948138.000000,22282240,167618241,0,1.000000,1114.189941
465326080,6002523.000000,22282240,169151993,0,1.000000,1124.229980
468766720,6056262.000000,22282240,170667412,0,1.000000,1134.291992
472371200,6110327.000000,22282240,172192500,0,1.000000,1144.369019
475648000,6164782.000000,22282240,173728052,0,1.000000,1154.373047
478924800,6219394.000000,22282240,175267928,0,1.000000,1164.430054
481873920,6273793.000000,22282240,176803069,0,1.000000,1174.437988
485314560,6328443.000000,22282240,178344562,0,1.000000,1184.496948
488755200,6382995.000000,22282240,179883069,0,1.000000,1194.511963
492195840,6437831.000000,22282240,181430210,0,1.000000,1204.572021
495144960,6492293.000000,22282240,182967255,0,1.000000,1214.578979
498585600,6546854.000000,22282240,184506163,0,1.000000,1224.605957
501534720,6601619.000000,22282240,186051521,0,1.000000,1234.656006
505303040,6656439.000000,22282240,187598183,0,1.000000,1244.709961
508416000,6710901.000000,22282240,189134365,0,1.000000,1254.713013
511856640,6765309.000000,22282240,190668938,0,1.000000,1264.715942
515133440,6819730.000000,22282240,192203860,0,1.000000,1274.728027
517918720,6874659.000000,22282240,193753929,0,1.000000,1284.785034
499982336,6929213.000000,22282240,173817442,0,1.000000,1294.791016
482013184,6983637.000000,22282240,153877859,0,1.000000,1304.795044
442105856,7038420.000000,22282240,112472904,0,1.000000,1314.866943
445382656,7093284.000000,22282240,114021020,0,1.000000,1324.933960
448823296,7148410.000000,22282240,115575485,0,1.000000,1334.998047
451772416,7202882.000000,22282240,117112562,0,1.000000,1345.005981
455868416,7258222.000000,22282240,118673975,0,1.000000,1355.069946
458981376,7313281.000000,22282240,120227595,0,1.000000,1365.072998
462258176,7368397.000000,22282240,121783271,0,1.000000,1375.087036
465534976,7423841.000000,22282240,123347276,0,1.000000,1385.140991
447549440,7478979.000000,22282240,103428075,0,1.000000,1395.163940
429203456,7534322.000000,22282240,83514556,0,1.000000,1405.214966
415133696,7589053.000000,22282240,63583507,0,1.000000,1415.282959
434958336,7641724.000000,22282240,65069609,0,1.000000,1425.286987
431439872,7693661.000000,22282240,66534684,0,1.000000,1435.352051
