mes_size,hmap_size,base_size,map_size,bit_size,avg,time
22282240,8683.000000,21954560,299197,0,1.000000,10.069000
23265280,21616.000000,21954560,743716,0,1.000000,20.075001
24248320,34584.000000,21954560,1186603,0,1.000000,30.089001
25141248,47621.000000,21954560,1635348,0,1.000000,40.144001
25964544,60399.000000,21954560,2084997,0,1.000000,50.202000
27275264,73477.000000,21954560,2542873,0,1.000000,60.206001
28258304,86526.000000,21954560,3001958,0,1.000000,70.220001
28479488,99384.000000,21954560,3455320,0,1.000000,80.290001
30359552,112001.000000,21954560,3902976,0,1.000000,90.358002
31563776,124937.000000,21954560,4357870,0,1.000000,100.428001
32546816,138088.000000,21954560,4818245,0,1.000000,110.439003
33202176,151145.000000,21954560,5277386,0,1.000000,120.459000
33857536,164154.000000,21954560,5737997,0,1.000000,130.505005
35168256,177083.000000,21954560,6196210,0,1.000000,140.528000
35823616,190094.000000,21954560,6655207,0,1.000000,150.582001
37371904,202336.000000,21954560,7083698,0,1.000000,160.591003
39010304,215488.000000,21954560,7543098,0,1.000000,170.647995
39903232,227939.000000,21954560,7980705,0,1.000000,180.656006
41213952,240855.000000,21954560,8434549,0,1.000000,190.729996
42524672,253838.000000,21954560,8894301,0,1.000000,200.740997
42852352,266670.000000,21954560,9347600,0,1.000000,210.770004
44163072,279686.000000,21954560,9806636,0,1.000000,220.837006
45146112,292658.000000,21954560,10264356,0,1.000000,230.850006
45801472,305766.000000,21954560,10713200,0,1.000000,240.850998
46456832,318871.000000,21954560,11166723,0,1.000000,250.923004
47439872,331950.000000,21954560,11618633,0,1.000000,260.976990
48422912,344938.000000,21954560,12069337,0,1.000000,271.002014
49078272,357990.000000,21954560,12523795,0,1.000000,281.074005
50061312,371050.000000,21954560,12975438,0,1.000000,291.083008
51044352,383844.000000,21954560,13416493,0,1.000000,301.140015
52920320,395612.000000,21954560,13823430,0,1.000000,311.158997
54796288,407451.000000,21954560,14228669,0,1.000000,321.220001
55451648,420149.000000,21954560,14665296,0,1.000000,331.291992
56107008,432830.000000,21954560,15102974,0,1.000000,341.303986
58966016,444820.000000,21954560,15514047,0,1.000000,351.372009
60186624,457140.000000,21954560,15938267,0,1.000000,361.375000
60514304,470263.000000,21954560,16389959,0,1.000000,371.444000
61497344,483116.000000,21954560,16843370,0,1.000000,381.454987
63135744,496148.000000,21954560,17299872,0,1.000000,391.523987
63135744,509254.000000,21954560,17755979,0,1.000000,401.595001
64446464,522191.000000,21954560,18210043,0,1.000000,411.596985
65757184,535148.000000,21954560,18673516,0,1.000000,421.665985
65757184,548094.000000,21954560,19129357,0,1.000000,431.679993
67067904,561205.000000,21954560,19587526,0,1.000000,441.759003
68378624,574204.000000,21954560,20044145,0,1.000000,451.776001
68378624,586996.000000,21954560,20497489,0,1.000000,461.778015
69689344,599978.000000,21954560,20954735,0,1.000000,471.839996
70672384,613021.000000,21954560,21412886,0,1.000000,481.914001
71327744,625887.000000,21954560,21867622,0,1.000000,491.925995
72310784,639029.000000,21954560,22325204,0,1.000000,502.000000
73293824,651982.000000,21954560,22781759,0,1.000000,512.073975
73949184,665026.000000,21954560,23238515,0,1.000000,522.140015
74932224,677990.000000,21954560,23697645,0,1.000000,532.213989
75587584,690902.000000,21954560,24151583,0,1.000000,542.223999
76570624,703934.000000,21954560,24607694,0,1.000000,552.283020
77553664,716812.000000,21954560,25063939,0,1.000000,562.289001
78209024,729487.000000,21954560,25523281,0,1.000000,572.304016
79192064,742346.000000,21954560,25982623,0,1.000000,582.366028
80175104,755200.000000,21954560,26446606,0,1.000000,592.435974
80830464,768142.000000,21954560,26909029,0,1.000000,602.504028
81813504,781053.000000,21954560,27372050,0,1.000000,612.572998
84905984,791723.000000,21954560,27755446,0,1.000000,622.580017
86544384,804340.000000,21954560,28207170,0,1.000000,632.651001
88653824,815648.000000,21954560,28612341,0,1.000000,642.682983
89309184,828334.000000,21954560,29070500,0,1.000000,652.731018
90292224,841176.000000,21954560,29530570,0,1.000000,662.776001
91275264,854058.000000,21954560,29991459,0,1.000000,672.851013
91602944,866948.000000,21954560,30453505,0,1.000000,682.924988
94040064,878500.000000,21954560,30865293,0,1.000000,692.989014
98955264,890110.000000,21954560,31282008,0,1.000000,702.995972
98115584,901349.000000,21954560,31683575,0,1.000000,713.072021
99426304,914170.000000,21954560,32133930,0,1.000000,723.078979
100409344,927048.000000,21954560,32584748,0,1.000000,733.148987
100737024,939873.000000,21954560,33037295,0,1.000000,743.223022
102047744,952752.000000,21954560,33488890,0,1.000000,753.286987
102703104,965487.000000,21954560,33937917,0,1.000000,763.294006
103358464,978228.000000,21954560,34387915,0,1.000000,773.309998
104341504,991145.000000,21954560,34840671,0,1.000000,783.370972
105652224,1003870.000000,21954560,35290823,0,1.000000,793.375000
105979904,1016700.000000,21954560,35742083,0,1.000000,803.445984
106962944,1029558.000000,21954560,36191870,0,1.000000,813.455994
108273664,1042335.000000,21954560,36643723,0,1.000000,823.505005
108273664,1055191.000000,21954560,37093798,0,1.000000,833.515991
109584384,1068057.000000,21954560,37553950,0,1.000000,843.578979
110895104,1080917.000000,21954560,38004733,0,1.000000,853.593018
110895104,1093790.000000,21954560,38459616,0,1.000000,863.666992
112533504,1106716.000000,21954560,38910294,0,1.000000,873.669006
112861184,1119477.000000,21954560,39364344,0,1.000000,883.755005
113844224,1132179.000000,21954560,39814895,0,1.000000,893.776001
115154944,1145105.000000,21954560,40269249,0,1.000000,903.835022
115482624,1157952.000000,21954560,40721341,0,1.000000,913.848022
116465664,1170793.000000,21954560,41171214,0,1.000000,923.901978
117121024,1183580.000000,21954560,41620691,0,1.000000,933.927002
118104064,1196425.000000,21954560,42070300,0,1.000000,943.986023
119414784,1209316.000000,21954560,42506381,0,1.000000,954.052002
119742464,1222161.000000,21954560,42943197,0,1.000000,964.080994
120725504,1235099.000000,21954560,43380817,0,1.000000,974.129028
121708544,1247930.000000,21954560,43814366,0,1.000000,984.166992
122363904,1260598.000000,21954560,44244665,0,1.000000,994.210999
