mes_size,hmap_size,base_size,map_size,bit_size,avg,time
737017856,35661.000000,736526336,1004207,60231680,1.000000,10.031000
738164736,77665.000000,736526336,2186969,60231680,1.000000,20.038000
739803136,124055.000000,736526336,3493447,60231680,1.000000,30.080000
741441536,173643.000000,736526336,4889432,60231680,1.000000,40.132000
743243776,226549.000000,736526336,6378581,60231680,1.000000,50.146000
745373696,281524.000000,736526336,7926662,60231680,1.000000,60.180000
747503616,340172.000000,736526336,9577624,60231680,1.000000,70.195000
749469696,400979.000000,736526336,11289545,60231680,1.000000,80.208000
751435776,465001.000000,736526336,13092686,60231680,1.000000,90.267998
754876416,525289.000000,736526336,14790360,60231680,1.000000,100.278999
757006336,591765.000000,736526336,16662287,60231680,1.000000,110.336998
759463936,660311.000000,736526336,18592051,60231680,1.000000,120.397003
761266176,729981.000000,736526336,20553557,60231680,1.000000,130.408005
763396096,800974.000000,736526336,22552678,60231680,1.000000,140.453003
766181376,873398.000000,736526336,24592173,60231680,1.000000,150.466003
768147456,947698.000000,736526336,26684741,60231680,1.000000,160.516006
773718016,1007493.000000,736526336,28368024,60231680,1.000000,170.531998
775684096,1082466.000000,736526336,30479592,60231680,1.000000,180.589005
778305536,1156646.000000,736526336,32569031,60231680,1.000000,190.608994
780435456,1230646.000000,736526336,34653397,60231680,1.000000,200.667999
782893056,1304168.000000,736526336,36724168,60231680,1.000000,210.675003
785350656,1377851.000000,736526336,38800049,60231680,1.000000,220.738007
787316736,1449317.000000,736526336,40813468,60231680,1.000000,230.755997
789938176,1519702.000000,736526336,42795949,60231680,1.000000,240.807007
792068096,1591816.000000,736526336,44827062,60231680,1.000000,250.822998
794034176,1663773.000000,736526336,46854030,60231680,1.000000,260.834015
796491776,1734490.000000,736526336,48846165,60231680,1.000000,270.899994
799113216,1806555.000000,736526336,50876270,60231680,1.000000,280.941010
800915456,1878701.000000,736526336,52909080,60231680,1.000000,290.980011
803536896,1949427.000000,736526336,54901882,60231680,1.000000,301.036987
812220416,1987042.000000,736526336,55961269,60231680,1.000000,311.041992
814841856,2056933.000000,736526336,57930293,60231680,1.000000,321.067993
816971776,2129103.000000,736526336,59962976,60231680,1.000000,331.101013
