mes_size,hmap_size,base_size,map_size,bit_size,avg,time
21954560,2216.000000,21626880,537990,0,1.000000,10.028000
22937600,5274.000000,21626880,1291292,0,1.000000,20.118999
23265280,8380.000000,21626880,2036433,0,1.000000,30.125999
24576000,11440.000000,21626880,2779914,0,1.000000,40.127998
25886720,14377.000000,21626880,3518091,0,1.000000,50.198002
27197440,17466.000000,21626880,4263572,0,1.000000,60.201000
27852800,20495.000000,21626880,5015464,0,1.000000,70.214996
28508160,23635.000000,21626880,5772937,0,1.000000,80.269997
29491200,26612.000000,21626880,6508190,0,1.000000,90.346001
29818880,29707.000000,21626880,7250382,0,1.000000,100.357002
30801920,32835.000000,21626880,8010707,0,1.000000,110.443001
31784960,35932.000000,21626880,8763886,0,1.000000,120.452003
32112640,39057.000000,21626880,9525395,0,1.000000,130.524002
33095680,42177.000000,21626880,10279073,0,1.000000,140.565994
33423360,45270.000000,21626880,11026639,0,1.000000,150.587006
34734080,48316.000000,21626880,11775572,0,1.000000,160.647995
35864576,51293.000000,21626880,12510355,0,1.000000,170.703995
36806656,54302.000000,21626880,13238048,0,1.000000,180.720993
38035456,57296.000000,21626880,13981535,0,1.000000,190.785995
38363136,60344.000000,21626880,14737107,0,1.000000,200.854996
39346176,63485.000000,21626880,15487858,0,1.000000,210.876007
39673856,66648.000000,21626880,16240462,0,1.000000,220.929001
40984576,69821.000000,21626880,16988599,0,1.000000,230.942993
41639936,72834.000000,21626880,17735467,0,1.000000,240.968002
42950656,75862.000000,21626880,18488732,0,1.000000,251.031998
43933696,78959.000000,21626880,19248219,0,1.000000,261.105988
44916736,82012.000000,21626880,20000091,0,1.000000,271.134003
45572096,85087.000000,21626880,20753490,0,1.000000,281.201996
46882816,88190.000000,21626880,21502998,0,1.000000,291.265015
47210496,91188.000000,21626880,22255845,0,1.000000,301.268005
48193536,94216.000000,21626880,22997573,0,1.000000,311.270996
48848896,97280.000000,21626880,23725410,0,1.000000,321.286011
49504256,100282.000000,21626880,24466795,0,1.000000,331.348999
50601984,103122.000000,21626880,25177883,0,1.000000,341.408997
51478528,106069.000000,21626880,25903036,0,1.000000,351.447998
53116928,109065.000000,21626880,26649597,0,1.000000,361.489014
