mes_size,hmap_size,base_size,map_size,bit_size,avg,time
21954560,10237.000000,21954560,352238,0,1.000000,10.018000
23265280,24365.000000,21954560,836119,0,1.000000,20.079000
24576000,38318.000000,21954560,1313071,0,1.000000,30.089001
25485312,52348.000000,21954560,1797101,0,1.000000,40.150002
25575424,65962.000000,21954560,2274169,0,1.000000,50.152000
27869184,79982.000000,21954560,2763964,0,1.000000,60.159000
28196864,93945.000000,21954560,3254103,0,1.000000,70.169998
29949952,107398.000000,21954560,3728069,0,1.000000,80.233002
31703040,120973.000000,21954560,4205544,0,1.000000,90.299004
31703040,135012.000000,21954560,4701829,0,1.000000,100.369003
33013760,148947.000000,21954560,5192022,0,1.000000,110.377998
34324480,163006.000000,21954560,5684639,0,1.000000,120.445000
34652160,177008.000000,21954560,6175096,0,1.000000,130.488998
35962880,190957.000000,21954560,6665570,0,1.000000,140.559006
37392384,204809.000000,21954560,7156512,0,1.000000,150.574005
39059456,217096.000000,21954560,7586467,0,1.000000,160.641998
40697856,230984.000000,21954560,8072482,0,1.000000,170.712006
41353216,245148.000000,21954560,8566539,0,1.000000,180.783997
42663936,259159.000000,21954560,9058797,0,1.000000,190.787003
43319296,273177.000000,21954560,9552680,0,1.000000,200.856995
44630016,287256.000000,21954560,10040218,0,1.000000,210.867004
45285376,301345.000000,21954560,10525757,0,1.000000,220.929001
46268416,315322.000000,21954560,11010904,0,1.000000,230.938004
47251456,329264.000000,21954560,11500884,0,1.000000,240.938995
48234496,343217.000000,21954560,11990685,0,1.000000,250.985992
48889856,357205.000000,21954560,12480961,0,1.000000,261.011993
50200576,371200.000000,21954560,12973833,0,1.000000,271.075989
50855936,384957.000000,21954560,13456408,0,1.000000,281.084991
52731904,398919.000000,21954560,13943126,0,1.000000,291.088013
54042624,412955.000000,21954560,14424403,0,1.000000,301.127991
57884672,425173.000000,21954560,14845489,0,1.000000,311.149994
58687488,435995.000000,21954560,15218101,0,1.000000,321.157013
59015168,450083.000000,21954560,15704935,0,1.000000,331.174011
60325888,464078.000000,21954560,16199849,0,1.000000,341.229004
61308928,478209.000000,21954560,16695422,0,1.000000,351.299988
62291968,492527.000000,21954560,17183947,0,1.000000,361.368011
63602688,506673.000000,21954560,17668116,0,1.000000,371.371002
63930368,520573.000000,21954560,18151356,0,1.000000,381.385010
64913408,534747.000000,21954560,18638169,0,1.000000,391.467987
66224128,548730.000000,21954560,19121579,0,1.000000,401.487000
66551808,562826.000000,21954560,19605347,0,1.000000,411.496002
67862528,576760.000000,21954560,20089996,0,1.000000,421.497986
68845568,590597.000000,21954560,20577590,0,1.000000,431.541992
69828608,604524.000000,21954560,21064257,0,1.000000,441.570007
70811648,618457.000000,21954560,21555355,0,1.000000,451.632996
71467008,632436.000000,21954560,22044932,0,1.000000,461.644989
72777728,646179.000000,21954560,22538429,0,1.000000,471.712006
73433088,659922.000000,21954560,23030115,0,1.000000,481.713989
74088448,673732.000000,21954560,23525558,0,1.000000,491.763000
75726848,687408.000000,21954560,24016256,0,1.000000,501.782013
76054528,701118.000000,21954560,24508553,0,1.000000,511.782990
77037568,714972.000000,21954560,25002332,0,1.000000,521.783020
78348288,728869.000000,21954560,25497463,0,1.000000,531.856018
78675968,742542.000000,21954560,25988824,0,1.000000,541.859009
80642048,756341.000000,21954560,26480926,0,1.000000,551.872009
80969728,770139.000000,21954560,26974497,0,1.000000,561.934998
81297408,783818.000000,21954560,27468666,0,1.000000,572.000000
88834048,797368.000000,21954560,27952929,0,1.000000,582.000977
85700608,811018.000000,21954560,28445928,0,1.000000,592.075012
86355968,824737.000000,21954560,28938394,0,1.000000,602.080017
87994368,838716.000000,21954560,29434110,0,1.000000,612.151978
