mes_size,hmap_size,base_size,map_size,bit_size,avg,time
22282240,2087.000000,22282240,503887,0,1.000000,10.033000
23265280,4963.000000,22282240,1213579,0,1.000000,20.035000
23592960,7880.000000,22282240,1923567,0,1.000000,30.099001
24576000,10831.000000,22282240,2634422,0,1.000000,40.112999
25886720,13707.000000,22282240,3350417,0,1.000000,50.173000
27197440,16655.000000,22282240,4076632,0,1.000000,60.242001
27525120,19579.000000,22282240,4783782,0,1.000000,70.254997
28508160,22465.000000,22282240,5499467,0,1.000000,80.262001
29491200,25385.000000,22282240,6196787,0,1.000000,90.272003
29818880,28140.000000,22282240,6875405,0,1.000000,100.336998
30801920,31025.000000,22282240,7565443,0,1.000000,110.396004
31129600,33851.000000,22282240,8255757,0,1.000000,120.470001
32440320,36598.000000,22282240,8932049,0,1.000000,130.481003
32440320,39447.000000,22282240,9623296,0,1.000000,140.542007
33751040,42293.000000,22282240,10311904,0,1.000000,150.608994
33751040,45120.000000,22282240,10994006,0,1.000000,160.619995
35061760,47906.000000,22282240,11673755,0,1.000000,170.628006
35061760,50677.000000,22282240,12363236,0,1.000000,180.692993
37093376,53344.000000,22282240,13010658,0,1.000000,190.703995
37339136,56121.000000,22282240,13687920,0,1.000000,200.714005
38649856,58861.000000,22282240,14376065,0,1.000000,210.768997
38977536,61695.000000,22282240,15062050,0,1.000000,220.785004
39960576,64549.000000,22282240,15745948,0,1.000000,230.811996
40288256,67451.000000,22282240,16431558,0,1.000000,240.882004
41271296,70354.000000,22282240,17123278,0,1.000000,250.953003
41926656,73054.000000,22282240,17803580,0,1.000000,261.016998
42909696,75872.000000,22282240,18490510,0,1.000000,271.029999
44220416,78634.000000,22282240,19175609,0,1.000000,281.036011
45203456,81469.000000,22282240,19865587,0,1.000000,291.096008
46186496,84269.000000,22282240,20553673,0,1.000000,301.161987
46514176,87067.000000,22282240,21238366,0,1.000000,311.183990
47497216,89862.000000,22282240,21926940,0,1.000000,321.255005
47824896,92601.000000,22282240,22612821,0,1.000000,331.315002
48807936,95466.000000,22282240,23296022,0,1.000000,341.386993
49135616,98349.000000,22282240,23979987,0,1.000000,351.408997
50446336,101101.000000,22282240,24665813,0,1.000000,361.459991
50995200,103761.000000,22282240,25324949,0,1.000000,371.483002
52420608,106362.000000,22282240,25978733,0,1.000000,381.536011
52641792,109083.000000,22282240,26653121,0,1.000000,391.545013
54607872,111816.000000,22282240,27339827,0,1.000000,401.559998
54935552,114681.000000,22282240,28025381,0,1.000000,411.612000
56573952,117510.000000,22282240,28716998,0,1.000000,421.686005
56573952,120345.000000,22282240,29394831,0,1.000000,431.703003
57884672,123184.000000,22282240,30077503,0,1.000000,441.757996
57884672,125856.000000,22282240,30753629,0,1.000000,451.769989
59195392,128598.000000,22282240,31427043,0,1.000000,461.772003
59195392,131348.000000,22282240,32103460,0,1.000000,471.806000
60506112,134213.000000,22282240,32785324,0,1.000000,481.867004
60833792,136988.000000,22282240,33464763,0,1.000000,491.937988
61816832,139815.000000,22282240,34143065,0,1.000000,501.946014
62472192,142652.000000,22282240,34820713,0,1.000000,511.955994
63127552,145422.000000,22282240,35506840,0,1.000000,522.007996
63782912,148263.000000,22282240,36185954,0,1.000000,532.028015
64438272,151028.000000,22282240,36866726,0,1.000000,542.039001
66076672,153831.000000,22282240,37549896,0,1.000000,552.096008
66732032,156605.000000,22282240,38225898,0,1.000000,562.106995
67715072,159378.000000,22282240,38906849,0,1.000000,572.164978
68370432,162157.000000,22282240,39583742,0,1.000000,582.184021
69353472,164927.000000,22282240,40266211,0,1.000000,592.237976
69681152,167775.000000,22282240,40945131,0,1.000000,602.255005
70991872,170502.000000,22282240,41632148,0,1.000000,612.322998
70991872,173279.000000,22282240,42311988,0,1.000000,622.325012
72302592,176088.000000,22282240,42996287,0,1.000000,632.392029
72302592,178820.000000,22282240,43680742,0,1.000000,642.406982
73613312,181526.000000,22282240,44366563,0,1.000000,652.471985
73613312,184280.000000,22282240,45046725,0,1.000000,662.476013
74924032,187097.000000,22282240,45727120,0,1.000000,672.543030
74924032,189864.000000,22282240,46408805,0,1.000000,682.559998
76234752,192693.000000,22282240,47091187,0,1.000000,692.614014
77545472,195440.000000,22282240,47767932,0,1.000000,702.630981
78528512,198199.000000,22282240,48450033,0,1.000000,712.697998
79183872,200958.000000,22282240,49129933,0,1.000000,722.710022
80166912,203772.000000,22282240,49813308,0,1.000000,732.789001
80494592,206550.000000,22282240,50495882,0,1.000000,742.859985
82817024,208841.000000,22282240,51071183,0,1.000000,752.877991
83144704,211600.000000,22282240,51743844,0,1.000000,762.942017
84574208,214253.000000,22282240,52407217,0,1.000000,772.955017
84901888,217003.000000,22282240,53083514,0,1.000000,782.958008
85884928,219773.000000,22282240,53761995,0,1.000000,792.958984
86212608,222565.000000,22282240,54440680,0,1.000000,802.960022
88178688,225324.000000,22282240,55126086,0,1.000000,813.034973
88506368,228034.000000,22282240,55808379,0,1.000000,823.039978
89817088,230807.000000,22282240,56495877,0,1.000000,833.107971
90144768,233592.000000,22282240,57182843,0,1.000000,843.177979
91127808,236293.000000,22282240,57870913,0,1.000000,853.244019
91783168,239153.000000,22282240,58556040,0,1.000000,863.318970
92438528,242012.000000,22282240,59240742,0,1.000000,873.338013
93421568,244736.000000,22282240,59923619,0,1.000000,883.383972
93749248,247510.000000,22282240,60604491,0,1.000000,893.406006
94732288,250321.000000,22282240,61288934,0,1.000000,903.460999
95059968,253055.000000,22282240,61968670,0,1.000000,913.465027
96043008,255787.000000,22282240,62647935,0,1.000000,923.474976
96698368,258535.000000,22282240,63329263,0,1.000000,933.478027
97353728,261265.000000,22282240,64016886,0,1.000000,943.536987
98336768,263964.000000,22282240,64698898,0,1.000000,953.557007
99975168,266669.000000,22282240,65386578,0,1.000000,963.625977
100302848,269383.000000,22282240,66072389,0,1.000000,973.693970
101613568,272091.000000,22282240,66757855,0,1.000000,983.703979
101941248,274889.000000,22282240,67443813,0,1.000000,993.765015
102924288,277578.000000,22282240,68125323,0,1.000000,1003.796021
103251968,280115.000000,22282240,68746197,0,1.000000,1013.807983
104235008,282902.000000,22282240,69423861,0,1.000000,1023.885010
104562688,285790.000000,22282240,70126383,0,1.000000,1033.957031
105545728,288641.000000,22282240,70835429,0,1.000000,1044.027954
